date,hour,terminal_zone,traffic_type,passengers_processed,avg_security_wait_min
2026-08-06,9,International,International,63.0,15
2026-08-06,11,Domestic,Domestic,139.0,10
2026-08-06,11,Transborder,Transborder,81.0,15
2026-08-06,11,International,International,68.0,7
2026-08-06,13,Domestic,Domestic,176.0,16
2026-08-06,13,Transborder,Transborder,98.0,5
2026-08-06,13,International,International,11.0,15
2026-08-06,15,Domestic,Domestic,218.0,12
2026-08-06,15,Transborder,Transborder,45.0,9
2026-08-06,15,International,International,0.0,9
2026-08-06,17,Domestic,Domestic,170.0,11
2026-08-06,17,Transborder,Transborder,0.0,11
2026-08-06,17,International,International,63.0,11
2026-08-06,19,Domestic,Domestic,170.0,16
2026-08-06,19,Transborder,Transborder,113.0,5
2026-08-06,19,International,International,77.0,14
2026-08-06,21,Domestic,Domestic,131.0,16
2026-08-06,21,Transborder,Transborder,40.0,14
2026-08-06,21,International,International,73.0,18
2026-08-07,5,Domestic,Domestic,209.0,8
2026-08-07,5,Transborder,Transborder,112.0,10
2026-08-07,5,International,International,97.0,16
2026-08-07,7,Domestic,Domestic,176.0,16
2026-08-07,7,Transborder,Transborder,82.0,8
2026-08-07,7,International,International,100.0,15
2026-08-07,9,Domestic,Domestic,169.0,13
2026-08-07,9,Transborder,Transborder,83.0,15
2026-08-07,9,International,International,43.0,17
2026-08-07,11,Domestic,Domestic,160.0,12
2026-08-07,11,Transborder,Transborder,71.0,15
2026-08-07,11,International,International,30.0,10
2026-08-07,13,Domestic,Domestic,175.0,13
2026-08-07,13,Transborder,Transborder,33.0,9
2026-08-07,13,International,International,48.0,18
2026-08-07,15,Domestic,Domestic,195.0,7
2026-08-07,15,Transborder,Transborder,49.0,18
2026-08-07,15,International,International,55.0,15
2026-08-07,17,Domestic,Domestic,184.0,13
2026-08-07,17,Transborder,Transborder,85.0,7
2026-08-07,17,International,International,50.0,9
2026-08-07,19,Domestic,Domestic,218.0,6
2026-08-07,19,Transborder,Transborder,0.0,12
2026-08-07,19,International,International,157.0,7
2026-08-07,21,Domestic,Domestic,149.0,16
2026-08-07,21,Transborder,Transborder,84.0,9
2026-08-07,21,International,International,22.0,16
2026-08-08,5,Domestic,Domestic,202.0,17
2026-08-08,5,Transborder,Transborder,79.0,13
2026-08-08,5,International,International,32.0,17
2026-08-08,7,Domestic,Domestic,217.0,7
2026-08-08,7,Transborder,Transborder,64.0,15
2026-08-08,7,International,International,74.0,10
2026-08-08,9,Domestic,Domestic,147.0,15
2026-08-08,9,Transborder,Transborder,68.0,6
2026-08-08,9,International,International,125.0,8
2026-08-08,11,Domestic,Domestic,213.0,10
2026-08-08,11,Transborder,Transborder,80.0,8
2026-08-08,11,International,International,39.0,16
2026-08-08,13,Domestic,Domestic,182.0,18
2026-08-08,13,Transborder,Transborder,76.0,9
2026-08-08,13,International,International,70.0,11
2026-08-08,15,Domestic,Domestic,142.0,17
2026-08-08,15,Transborder,Transborder,93.0,10
2026-08-08,15,International,International,16.0,10
2026-08-08,17,Domestic,Domestic,237.0,9
2026-08-08,17,Transborder,Transborder,42.0,14
2026-08-08,17,International,International,65.0,9
2026-08-08,19,Domestic,Domestic,215.0,12
2026-08-08,19,Transborder,Transborder,61.0,18
2026-08-08,19,International,International,66.0,6
2026-08-08,21,Domestic,Domestic,230.0,12
2026-08-08,21,Transborder,Transborder,89.0,5
2026-08-08,21,International,International,67.0,18
2026-08-09,5,Domestic,Domestic,121.0,15
2026-08-09,5,Transborder,Transborder,37.0,14
2026-08-09,5,International,International,91.0,14
2026-08-09,7,Domestic,Domestic,199.0,14
2026-08-09,7,Transborder,Transborder,95.0,6
2026-08-09,7,International,International,77.0,12
2026-08-09,9,Domestic,Domestic,225.0,8
2026-08-09,9,Transborder,Transborder,60.0,13
2026-08-09,9,International,International,59.0,6
2026-08-09,11,Domestic,Domestic,143.0,18
2026-08-09,11,Transborder,Transborder,25.0,15
2026-08-09,11,International,International,0.0,11
2026-08-09,13,Domestic,Domestic,149.0,13
2026-08-09,13,Transborder,Transborder,124.0,9
2026-08-09,13,International,International,0.0,11
2026-08-09,15,Domestic,Domestic,169.0,5
2026-08-09,15,Transborder,Transborder,24.0,18
2026-08-09,15,International,International,33.0,18
2026-08-09,17,Domestic,Domestic,185.0,7
2026-08-09,17,Transborder,Transborder,45.0,7
2026-08-09,17,International,International,93.0,8
2026-08-09,19,Domestic,Domestic,233.0,10
2026-08-09,19,Transborder,Transborder,0.0,11
2026-08-09,19,International,International,31.0,14
2026-08-09,21,Domestic,Domestic,182.0,12
2026-08-09,21,Transborder,Transborder,109.0,7
2026-08-09,21,International,International,39.0,10
2026-08-10,5,Domestic,Domestic,179.0,18
2026-08-10,5,Transborder,Transborder,29.0,16
2026-08-10,5,International,International,1.0,7
2026-08-10,7,Domestic,Domestic,230.0,17
2026-08-10,7,Transborder,Transborder,6.0,6
2026-08-10,7,International,International,136.0,12
2026-08-10,9,Domestic,Domestic,205.0,10
2026-08-10,9,Transborder,Transborder,93.0,15
2026-08-10,9,International,International,75.0,7
2026-08-10,11,Domestic,Domestic,171.0,10
2026-08-10,11,Transborder,Transborder,83.0,15
2026-08-10,11,International,International,48.0,5
2026-08-10,13,Domestic,Domestic,199.0,5
2026-08-10,13,Transborder,Transborder,68.0,12
2026-08-10,13,International,International,21.0,9
2026-08-10,15,Domestic,Domestic,149.0,8
2026-08-10,15,Transborder,Transborder,35.0,17
2026-08-10,15,International,International,88.0,17
2026-08-10,17,Domestic,Domestic,158.0,7
2026-08-10,17,Transborder,Transborder,3.0,14
2026-08-10,17,International,International,68.0,17
2026-08-10,19,Domestic,Domestic,233.0,7
2026-08-10,19,Transborder,Transborder,97.0,12
2026-08-10,19,International,International,33.0,17
2026-08-10,21,Domestic,Domestic,124.0,17
2026-08-10,21,Transborder,Transborder,65.0,17
2026-08-10,21,International,International,49.0,6
2026-08-11,5,Domestic,Domestic,146.0,7
2026-08-11,5,Transborder,Transborder,89.0,14
2026-08-11,5,International,International,119.0,11
2026-08-11,7,Domestic,Domestic,187.0,15
2026-08-11,7,Transborder,Transborder,75.0,11
2026-08-11,7,International,International,22.0,11
2026-08-11,9,Domestic,Domestic,228.0,11
2026-08-11,9,Transborder,Transborder,67.0,12
2026-08-11,9,International,International,34.0,11
2026-08-11,11,Domestic,Domestic,182.0,5
2026-08-11,11,Transborder,Transborder,86.0,5
2026-08-11,11,International,International,59.0,13
2026-08-11,13,Domestic,Domestic,222.0,8
2026-08-11,13,Transborder,Transborder,83.0,16
2026-08-11,13,International,International,45.0,10
2026-08-11,15,Domestic,Domestic,194.0,5
2026-08-11,15,Transborder,Transborder,87.0,10
2026-08-11,15,International,International,9.0,17
2026-08-11,17,Domestic,Domestic,220.0,18
2026-08-11,17,Transborder,Transborder,59.0,13
2026-08-11,17,International,International,45.0,8
2026-08-11,19,Domestic,Domestic,206.0,5
2026-08-11,19,Transborder,Transborder,96.0,15
2026-08-11,19,International,International,30.0,5
2026-08-11,21,Domestic,Domestic,208.0,15
2026-08-11,21,Transborder,Transborder,50.0,16
2026-08-11,21,International,International,118.0,8
2026-08-12,5,Domestic,Domestic,151.0,8
2026-08-12,5,Transborder,Transborder,78.0,16
2026-08-12,5,International,International,27.0,10
2026-08-12,7,Domestic,Domestic,257.0,9
2026-08-12,7,Transborder,Transborder,26.0,7
2026-08-12,7,International,International,73.0,6
2026-08-12,9,Domestic,Domestic,154.0,11
2026-08-12,9,Transborder,Transborder,57.0,13
2026-08-12,9,International,International,70.0,14
2026-08-12,11,Domestic,Domestic,222.0,9
2026-08-12,11,Transborder,Transborder,126.0,7
2026-08-12,11,International,International,1.0,6
2026-08-12,13,Domestic,Domestic,189.0,18
2026-08-12,13,Transborder,Transborder,121.0,5
2026-08-12,13,International,International,0.0,9
2026-08-12,15,Domestic,Domestic,191.0,9
2026-08-12,15,Transborder,Transborder,69.0,12
2026-08-12,15,International,International,69.0,16
2026-08-12,17,Domestic,Domestic,152.0,13
2026-08-12,17,Transborder,Transborder,19.0,14
2026-08-12,17,International,International,0.0,13
2026-08-12,19,Domestic,Domestic,214.0,10
2026-08-12,19,Transborder,Transborder,108.0,11
2026-08-12,19,International,International,65.0,15
2026-08-12,21,Domestic,Domestic,161.0,7
2026-08-12,21,Transborder,Transborder,13.0,10
2026-08-12,21,International,International,74.0,12
2026-08-13,5,Domestic,Domestic,141.0,10
2026-08-13,5,Transborder,Transborder,45.0,17
2026-08-13,5,International,International,34.0,8
2026-08-13,7,Domestic,Domestic,173.0,7
2026-08-13,7,Transborder,Transborder,43.0,17
2026-08-13,7,International,International,56.0,11
2026-08-13,9,Domestic,Domestic,158.0,5
2026-08-13,9,Transborder,Transborder,94.0,8
2026-08-13,9,International,International,91.0,8
2026-08-13,11,Domestic,Domestic,183.0,16
2026-08-13,11,Transborder,Transborder,86.0,7
2026-08-13,11,International,International,129.0,8
2026-08-13,13,Domestic,Domestic,138.0,16
2026-08-13,13,Transborder,Transborder,26.0,5
2026-08-13,13,International,International,79.0,14
2026-08-13,15,Domestic,Domestic,248.0,13
2026-08-13,15,Transborder,Transborder,60.0,7
2026-08-13,15,International,International,115.0,6
2026-08-13,17,Domestic,Domestic,183.0,10
2026-08-13,17,Transborder,Transborder,46.0,16
2026-08-13,17,International,International,20.0,15
2026-08-13,19,Domestic,Domestic,202.0,17
2026-08-13,19,Transborder,Transborder,37.0,5
2026-08-13,19,International,International,57.0,11
2026-08-13,21,Domestic,Domestic,235.0,15
2026-08-13,21,Transborder,Transborder,59.0,9
2026-08-13,21,International,International,100.0,17
2026-08-14,5,Domestic,Domestic,137.0,13
2026-08-14,5,Transborder,Transborder,51.0,14
2026-08-14,5,International,International,5.0,5
2026-08-14,7,Domestic,Domestic,182.0,14
2026-08-14,7,Transborder,Transborder,97.0,5
2026-08-14,7,International,International,57.0,15
2026-08-14,9,Domestic,Domestic,222.0,6
2026-08-14,9,Transborder,Transborder,43.0,15
2026-08-14,9,International,International,62.0,18
2026-08-14,11,Domestic,Domestic,161.0,5
2026-08-14,11,Transborder,Transborder,82.0,5
2026-08-14,11,International,International,72.0,16
2026-08-14,13,Domestic,Domestic,200.0,6
2026-08-14,13,Transborder,Transborder,32.0,11
2026-08-14,13,International,International,23.0,12
2026-08-14,15,Domestic,Domestic,155.0,11
2026-08-14,15,Transborder,Transborder,61.0,6
2026-08-14,15,International,International,58.0,13
2026-08-14,17,Domestic,Domestic,204.0,9
2026-08-14,17,Transborder,Transborder,40.0,12
2026-08-14,17,International,International,0.0,16
2026-08-14,19,Domestic,Domestic,255.0,7
2026-08-14,19,Transborder,Transborder,30.0,8
2026-08-14,19,International,International,84.0,16
2026-08-14,21,Domestic,Domestic,181.0,15
2026-08-14,21,Transborder,Transborder,78.0,15
2026-08-14,21,International,International,54.0,5
2026-08-15,5,Domestic,Domestic,166.0,9
2026-08-15,5,Transborder,Transborder,86.0,11
2026-08-15,5,International,International,39.0,15
2026-08-15,7,Domestic,Domestic,220.0,6
2026-08-15,7,Transborder,Transborder,89.0,15
2026-08-15,7,International,International,75.0,13
2026-08-15,9,Domestic,Domestic,162.0,9
2026-08-15,9,Transborder,Transborder,61.0,14
2026-08-15,9,International,International,13.0,14
2026-08-15,11,Domestic,Domestic,167.0,16
2026-08-15,11,Transborder,Transborder,33.0,7
2026-08-15,11,International,International,100.0,11
2026-08-15,13,Domestic,Domestic,181.0,18
2026-08-15,13,Transborder,Transborder,75.0,6
2026-08-15,13,International,International,47.0,13
2026-08-15,15,Domestic,Domestic,186.0,16
2026-08-15,15,Transborder,Transborder,156.0,14
2026-08-15,15,International,International,44.0,6
2026-08-15,17,Domestic,Domestic,157.0,9
2026-08-15,17,Transborder,Transborder,88.0,6
2026-08-15,17,International,International,0.0,17
2026-08-15,19,Domestic,Domestic,182.0,6
2026-08-15,19,Transborder,Transborder,56.0,12
2026-08-15,19,International,International,20.0,8
2026-08-15,21,Domestic,Domestic,197.0,14
2026-08-15,21,Transborder,Transborder,71.0,8
2026-08-15,21,International,International,0.0,17
2026-08-16,5,Domestic,Domestic,157.0,9
2026-08-16,5,Transborder,Transborder,0.0,18
2026-08-16,5,International,International,65.0,13
2026-08-16,7,Domestic,Domestic,189.0,8
2026-08-16,7,Transborder,Transborder,42.0,10
2026-08-16,7,International,International,73.0,16
2026-08-16,9,Domestic,Domestic,135.0,11
2026-08-16,9,Transborder,Transborder,36.0,9
2026-08-16,9,International,International,69.0,7
2026-08-16,11,Domestic,Domestic,155.0,5
2026-08-16,11,Transborder,Transborder,67.0,13
2026-08-16,11,International,International,35.0,12
2026-08-16,13,Domestic,Domestic,165.0,8
2026-08-16,13,Transborder,Transborder,57.0,16
2026-08-16,13,International,International,30.0,12
2026-08-16,15,Domestic,Domestic,190.0,10
2026-08-16,15,Transborder,Transborder,48.0,8
2026-08-16,15,International,International,55.0,5
2026-08-16,17,Domestic,Domestic,154.0,5
2026-08-16,17,Transborder,Transborder,16.0,15
2026-08-16,17,International,International,86.0,6
2026-08-16,19,Domestic,Domestic,197.0,6
2026-08-16,19,Transborder,Transborder,150.0,18
2026-08-16,19,International,International,18.0,14
2026-08-16,21,Domestic,Domestic,172.0,15
2026-08-16,21,Transborder,Transborder,65.0,12
2026-08-16,21,International,International,89.0,7
2026-08-17,5,Domestic,Domestic,162.0,6
2026-08-17,5,Transborder,Transborder,29.0,17
2026-08-17,5,International,International,97.0,13
2026-08-17,7,Domestic,Domestic,168.0,6
2026-08-17,7,Transborder,Transborder,100.0,16
2026-08-17,7,International,International,81.0,16
2026-08-17,9,Domestic,Domestic,178.0,6
2026-08-17,9,Transborder,Transborder,63.0,9
2026-08-17,9,International,International,41.0,15
2026-08-17,11,Domestic,Domestic,179.0,8
2026-08-17,11,Transborder,Transborder,100.0,12
2026-08-17,11,International,International,27.0,9
2026-08-17,13,Domestic,Domestic,183.0,9
2026-08-17,13,Transborder,Transborder,30.0,12
2026-08-17,13,International,International,20.0,5
2026-08-17,15,Domestic,Domestic,178.0,6
2026-08-17,15,Transborder,Transborder,1.0,18
2026-08-17,15,International,International,127.0,7
2026-08-17,17,Domestic,Domestic,138.0,18
2026-08-17,17,Transborder,Transborder,68.0,5
2026-08-17,17,International,International,95.0,18
2026-08-17,19,Domestic,Domestic,149.0,9
2026-08-17,19,Transborder,Transborder,0.0,10
2026-08-17,19,International,International,39.0,17
2026-08-17,21,Domestic,Domestic,149.0,15
2026-08-17,21,Transborder,Transborder,0.0,10
2026-08-17,21,International,International,64.0,11
2026-08-18,5,Domestic,Domestic,187.0,16
2026-08-18,5,Transborder,Transborder,109.0,6
2026-08-18,5,International,International,15.0,6
2026-08-18,7,Domestic,Domestic,124.0,18
2026-08-18,7,Transborder,Transborder,55.0,17
2026-08-18,7,International,International,51.0,5
2026-08-18,9,Domestic,Domestic,212.0,5
2026-08-18,9,Transborder,Transborder,119.0,18
2026-08-18,9,International,International,97.0,7
2026-08-18,11,Domestic,Domestic,189.0,15
2026-08-18,11,Transborder,Transborder,97.0,15
2026-08-18,11,International,International,32.0,7
2026-08-18,13,Domestic,Domestic,185.0,10
2026-08-18,13,Transborder,Transborder,28.0,10
2026-08-18,13,International,International,57.0,12
2026-08-18,15,Domestic,Domestic,183.0,14
2026-08-18,15,Transborder,Transborder,130.0,9
2026-08-18,15,International,International,46.0,16
2026-08-18,17,Domestic,Domestic,183.0,6
2026-08-18,17,Transborder,Transborder,78.0,10
2026-08-18,17,International,International,39.0,18
2026-08-18,19,Domestic,Domestic,151.0,10
2026-08-18,19,Transborder,Transborder,115.0,7
2026-08-18,19,International,International,20.0,6
2026-08-18,21,Domestic,Domestic,133.0,11
2026-08-18,21,Transborder,Transborder,93.0,11
2026-08-18,21,International,International,95.0,12
2026-08-19,5,Domestic,Domestic,164.0,9
2026-08-19,5,Transborder,Transborder,54.0,18
2026-08-19,5,International,International,64.0,11
2026-08-19,7,Domestic,Domestic,155.0,16
2026-08-19,7,Transborder,Transborder,42.0,18
2026-08-19,7,International,International,85.0,12
2026-08-19,9,Domestic,Domestic,201.0,17
2026-08-19,9,Transborder,Transborder,115.0,11
2026-08-19,9,International,International,11.0,15
2026-08-19,11,Domestic,Domestic,162.0,17
2026-08-19,11,Transborder,Transborder,79.0,7
2026-08-19,11,International,International,22.0,6
2026-08-19,13,Domestic,Domestic,202.0,7
2026-08-19,13,Transborder,Transborder,112.0,16
